HITId,AssignmentId,WorkerId,AssignmentStatus,AutoApprovalTime,AcceptTime,SubmitTime,ApprovalTime,RejectionTime,Deadline,RequesterFeedback,feedback,submit

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2XKSCXKNQY2VHXPTISMECHR0KIX0PL,A18AIG4L4EEO11,Approved,2013-02-24T06:23:45Z,2013-02-24T06:21:00Z,2013-02-24T06:23:45Z,2013-02-24T06:25:00Z,,,,"[""i asked if it was a children's story and it said no. but it says it was the three little bears which is a children's story""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,20I7Q67051QOH1WOHMHCAXMGIO9YEY,A1TZT6IH99DO6Q,Approved,2013-02-24T06:53:18Z,2013-02-24T06:45:10Z,2013-02-24T06:53:18Z,2013-02-24T06:55:00Z,,,,"[""it was good but i would like to know the full story after this experiment. it was fun""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2IEZ9O9Z6KW840FMWAIRUFQ0OB2C3E,A3T1ZDLZ2R5X66,Approved,2013-02-24T06:59:56Z,2013-02-24T06:55:17Z,2013-02-24T06:59:56Z,2013-02-24T07:05:00Z,,,,"[""This was really fun.""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2R9RRLFQ0ONR05MOZAF9NGRB7U1RIY,A3J47DDWJ0NCXD,Approved,2013-02-24T07:18:56Z,2013-02-24T07:13:58Z,2013-02-24T07:18:56Z,2013-02-24T07:20:00Z,,,,"[""it was fun!""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,24VK4F0OHOVV6INKZHTLI2HECKP23V,A197EXGCMR52KI,Approved,2013-02-24T07:35:05Z,2013-02-24T07:30:27Z,2013-02-24T07:35:05Z,2013-02-24T07:40:00Z,,,,"[""it was nice.i found what kind of story is this you made for me.""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,27P2Q45UUKQS3US5BUESHOG01OLUC3,A2TTVXF41OSOG,Approved,2013-02-24T07:38:33Z,2013-02-24T07:28:52Z,2013-02-24T07:38:33Z,2013-02-24T07:40:01Z,,,,"[""Very very interesting.because of lack of time am stopping.thank you.""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2KYX3YOCCF0GUJPK4M9NRIXYGS4SRS,A1HKZNEWJKL42,Approved,2013-02-24T08:04:30Z,2013-02-24T08:03:39Z,2013-02-24T08:04:30Z,2013-02-24T08:05:00Z,,,,"[""not bad....""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2FKW6NG1FS3R31OYD8SF8SZL2L6YKJ,A1NPEJ07B2F5I5,Approved,2013-02-24T08:07:41Z,2013-02-24T07:59:15Z,2013-02-24T08:07:41Z,2013-02-24T08:10:00Z,,,,"[""GREAT""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2XNP3TVOK5UJOJ6LMJ5O8FYQSPR36D,A3UWM3KJYEL5XU,Approved,2013-02-24T08:59:45Z,2013-02-24T08:56:12Z,2013-02-24T08:59:45Z,2013-02-24T09:00:00Z,,,,"[""I'm confused but I think I figured out the story was about a camp counselor telling a scary story?""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2U4CVLL3CA37RVFC5X39WQU7XLYZ9H,A26O058S4R4JPX,Approved,2013-02-24T09:03:52Z,2013-02-24T08:58:34Z,2013-02-24T09:03:52Z,2013-02-24T09:05:00Z,,,,"[""very sweet task""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,211Y8TNKIMZWRJP2WLTOV0PGV3IXAX,A19BNR0HVICIT3,Approved,2013-02-24T09:17:09Z,2013-02-24T09:13:39Z,2013-02-24T09:17:09Z,2013-02-24T09:20:00Z,,,,"[""Excellant""]","[""Submit""]"

